it.	N	N_h	N_v
779	282	111	171
780	277	110	167
781	278	111	167
782	281	116	165
783	282	116	166
784	282	117	165
785	291	121	170
786	288	122	166
787	284	125	159
788	278	116	162
789	285	120	165
790	295	126	169
791	292	122	170
792	294	118	176
793	294	121	173
794	278	116	162
795	287	122	165
796	291	122	169
797	283	119	164
798	277	117	160
799	278	114	164
800	273	114	159
801	278	124	154
802	278	123	155
803	276	119	157
804	273	114	159
805	280	117	163
806	280	117	163
807	282	116	166
808	280	112	168
809	272	111	161
810	271	111	160
811	284	120	164
812	281	115	166
813	267	112	155
814	272	115	157
815	280	116	164
816	287	119	168
817	279	115	164
818	282	117	165
819	281	115	166
820	280	110	170
821	281	110	171
822	272	106	166
823	275	107	168
824	288	110	178
825	289	112	177
826	287	112	175
827	285	109	176
828	272	101	171
829	285	106	179
830	290	102	188
831	284	104	180
832	288	111	177
833	286	113	173
834	289	114	175
835	297	114	183
836	298	117	181
837	294	118	176
838	287	114	173
839	291	112	179
840	284	110	174
841	284	108	176
842	284	110	174
843	295	107	188
844	295	107	188
845	300	110	190
846	300	114	186
847	303	114	189
848	294	104	190
849	282	106	176
850	276	105	171
851	284	112	172
852	275	108	167
853	281	109	172
854	279	103	176
855	287	110	177
856	282	112	170
857	281	107	174
858	283	110	173
859	294	111	183
860	281	107	174
861	285	115	170
862	289	115	174
863	289	118	171
864	286	116	170
865	293	117	176
866	288	116	172
867	290	118	172
868	280	108	172
869	277	110	167
870	271	111	160
871	271	114	157
872	276	112	164
873	281	116	165
874	278	111	167
875	275	112	163
876	280	117	163
877	274	113	161
878	279	115	164
879	263	111	152
880	275	114	161
881	276	118	158
882	284	119	165
883	277	117	160
884	274	118	156
885	272	114	158
886	277	113	164
887	279	118	161
888	270	109	161
889	277	111	166
890	277	114	163
891	285	116	169
892	284	115	169
893	272	116	156
894	277	117	160
895	283	117	166
896	289	117	172
897	284	114	170
898	278	115	163
899	288	114	174
900	284	114	170
901	286	117	169
902	280	109	171
903	280	106	174
904	289	111	178
905	284	109	175
906	279	110	169
907	286	116	170
908	288	118	170
909	295	120	175
910	299	123	176
911	288	118	170
912	287	115	172
913	288	110	178
914	291	120	171
915	295	110	185
916	279	103	176
917	286	104	182
918	288	106	182
919	279	104	175
920	276	107	169
921	274	106	168
922	273	111	162
923	272	116	156
924	287	121	166
925	274	119	155
926	286	122	164
927	291	127	164
928	288	126	162
929	285	123	162
930	288	120	168
931	284	121	163
932	274	117	157
933	264	116	148
934	269	116	153
935	269	119	150
936	268	114	154
937	271	114	157
938	266	109	157
939	279	112	167
940	278	111	167
941	273	110	163
942	278	110	168
943	270	108	162
944	286	117	169
945	282	117	165
946	283	118	165
947	292	118	174
948	292	117	175
949	282	109	173
950	273	107	166
951	277	109	168
952	287	113	174
953	285	114	171
954	292	118	174
955	294	125	169
956	291	125	166
957	279	116	163
958	270	112	158
959	282	117	165
960	287	113	174
961	274	111	163
962	283	112	171
963	280	116	164
964	277	116	161
965	273	111	162
966	272	108	164
967	275	99	176
968	275	99	176
969	275	103	172
970	278	103	175
971	279	103	176
972	277	104	173
973	291	116	175
974	299	112	187
975	297	114	183
976	293	114	179
977	281	107	174
978	285	109	176
979	280	109	171
980	284	116	168
981	272	114	158
982	274	115	159
983	273	108	165
984	273	107	166
985	284	114	170
986	276	114	162
987	276	117	159
988	275	119	156
989	265	116	149
990	259	116	143
991	272	121	151
992	279	118	161
993	273	116	157
994	264	112	152
995	279	108	171
996	286	107	179
997	282	104	178
998	276	102	174
999	288	110	178
